index,plant_type,disease_name,explanation,solution,image_url
10,옥수수 , 북부잎마름병,"북부 옥수수잎마름병(NCLB)은 곰팡이인 Setosphaeria turcica에 의해 발생합니다. 증상은 대개 아래쪽 잎에서 먼저 나타납니다. 잎의 병변은 길고(1~6인치) 타원형이며 처음에는 회녹색이지만 이후에는 연한 회색 또는 황갈색으로 변합니다. 습한 조건에서는 일반적으로 잎의 아래쪽 표면에 어두운 회색 포자가 생성되어 병변에 ""더러운"" 회색 모양이 나타납니다. 심하게 병든 식물의 잎 전체가 죽을 수 있으므로 개별 병변은 눈에 띄지 않습니다. 귀 바깥 껍질에 병변이 발생할 수 있지만 귀 알갱이는 감염되지 않습니다. 곰팡이에 대한 저항성을 갖는 Ht 유전자를 함유한 잡종의 경우 병변은 더 작고 백화되며 선형 줄무늬로 발전할 수 있습니다. 이 병변은 포자를 거의 생성하지 않습니다.",살균제 적용으로 북부 옥수수 잎마름병 피해가 감소하고 수확량을 보호했습니다. 감수성 옥수수 잡종의 수확량 감소에서 살균제 값이 더 높았습니다. 살균제는 질병 발병 시 적용하는 경우 가장 효과적이었습니다. 질병 발병은 성장 단계에 따라 다양하므로 살균제를 적용하기 가장 좋은 단계입니다.,https://crop-protection-network.s3.amazonaws.com/articles/NLB-Daren-Mueller-02.jpg
11,옥수수 , 건강,"옥수수 식물은 낮에는 화씨 75~80도, 밤에는 화씨 65~70도를 선호합니다. 토양은 지속적으로 촉촉하게 유지되어야 하지만 눅눅하지 않아야 하며 비료는 6개월에 한 번씩만 필요합니다. 드라세나는 낮은 조명 조건에서도 사용할 수 있지만 밝고 간접적인 조명에 배치할 때 가장 잘 작동합니다. 식물이 몇 개의 노란 잎을 생산하는 것은 자연스러운 일이므로 걱정할 필요가 없습니다. 그러나 전체적으로 많은 노란 잎을 생산하는 경우 한 번, 예를 들어 5~6번 정도 물을 너무 많이 주거나 식물에 빛이 부족할 수 있습니다.","옥수수에는 여러 가지 건강상의 이점이 있습니다. 섬유질 함량이 높기 때문에 소화에 도움이 됩니다. 또한 전반적인 건강에 중요한 귀중한 비타민 B가 포함되어 있습니다. 옥수수는 또한 아연, 마그네슘, 구리, 철, 망간과 같은 필수 미네랄을 우리 몸에 제공합니다.",https://c8.alamy.com/comp/A85TR2/young-healthy-green-leaves-of-corn-maize-plant-in-pretty-unfolding-A85TR2.jpg
12,포도 , 블랙 로트,"포도검은썩음병은 덥고 습한 날씨에 포도나무를 공격하는 자낭균류인 Guignardia bidwellii에 의해 발생하는 곰팡이 질병입니다. “포도검은썩음병은 북미 동부에서 시작되었지만 현재는 유럽, 남미 및 아시아 일부 지역에서 발생합니다. 따뜻하고 습한 기후에서는 작물의 완전한 손실을 초래할 수 있지만 여름이 건조한 지역에서는 거의 알려지지 않았습니다. 이름은 잎에 자라는 갈색 반점과 접해 있는 검은색 무늬에서 유래되었습니다. 이 질병은 또한 식물의 다른 부분, 즉 포도나무의 모든 녹색 부분, 즉 새싹, 잎 및 과일 줄기, 덩굴손 및 과일을 공격합니다. 가장 해로운 영향은 과일에 미치는 영향입니다. Mancozeb은 BONIDE MANCOZEB FLOWABLE 살균제로 제공됩니다. 이는 37% Mancozeb을 함유하고 있으며 검은 부패를 제어하는 ??데 매우 효과적입니다. Nova(myclobutanil)는 IMMUNOX FUNGICIDE로 제공됩니다. 이는 1.55% 마이클로부타닐이며 검은 부패를 제어하는 ??데 효과적입니다.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Guignardia_bidwellii_08.jpg/330px-Guignardia_bidwellii_08.jpg
13,포도 : 에스카 | 흑역병, 포도홍역"," 에스카 흑홍역 또는 스페인 홍역이라고도 불리는 이 질병은 오랫동안 식별 가능한 원인 유기체가 부족하고 알 수 없는 증상이 표현되어 포도 재배자들을 괴롭혀 왔습니다. '홍역'이라는 이름은 과일에서 발견되는 표면적인 반점을 의미합니다(그림 1). 계절 동안에는 반점이 피부 표면에 합쳐져 열매가 검은색으로 변할 수 있습니다. 얼룩은 과일이 착과되기 전부터 수확하기 며칠 전 사이에 언제든지 발생할 수 있습니다. 착과 시 영향을 받은 열매는 성숙되지 않고 오그라들고 건조해지는 경향이 있습니다. 계절 후반에 영향을 받은 과일을 발견하는 것 외에도 매운 맛도 있습니다. 잎 증상은 해마다 감염이 심할 때 '호랑이 줄무늬' 패턴(그림 2-바닥 잎)이 특징입니다. 경미한 감염은 다른 질병이나 영양 결핍과 혼동될 수 있는 잎 증상(그림 2-상부 잎)을 유발할 수 있습니다. 흰색 품종은 황백화 부분과 괴사가 나타나는 반면, 빨간색 품종은 빨간색 부분과 괴사가 뒤따르는 특징을 갖습니다. 이른 봄 증상에는 싹 끝 잎이 말라 죽고 심한 경우에는 완전한 고엽이 포함됩니다.""현재까지 이 질병을 통제할 효과적인 방법은 없습니다. 감염된 열매, 잎 및 줄기를 제거하고 파괴하십시오. 자두 상처를 보호하여 곰팡이 감염을 최소화하십시오. 상처 밀봉제(아크릴 페인트에 5% 붕산) 또는 에센셜 오일 또는 적절한 살균제.
",https://www.researchgate.net/profile/Laura-Mugnai/publication/43161073/figure/fig1/AS:340404659605512@1458170203496/Symptoms-associated-with-esca-of-grapevine-chlorosis-and-necrosis-on-the-leaves-showing_Q320.jpg
14,포도 , 잎마름병 | 이사리오프시스 잎 반점,"곰팡이는 포도나무의 모든 녹색 부분을 공격할 수 있는 절대 병원체입니다.
이 질병의 증상은 흰가루병의 증상과 혼동되는 경우가 많습니다. 감염된 잎에는 연한 황록색 병변이 나타나 점차 갈색으로 변합니다. 심하게 감염된 잎은 조기에 떨어지는 경우가 많습니다. 감염된 잎자루, 덩굴손 및 새싹은 종종 말리며 목자 모양의 구부러진 부분이 생기고 결국 갈색으로 변하여 죽습니다.
어린 열매는 감염에 매우 취약하며 종종 곰팡이의 흰색 열매 구조로 덮여 있습니다. 흰색 품종의 감염된 오래된 열매는 흐릿한 회색 녹색으로 변하는 반면, 검은색 품종의 열매는 분홍빛이 도는 빨간색으로 변합니다.","접종원 수준을 줄이기 위해 휴면 스프레이를 적용합니다.
잘라내 다. 
그 캐노피를 열어보세요.
방어를 포기하지 마십시오.
일찍 스카우트하고, 자주 스카우트하세요.
보호제와 전신 살균제를 사용하십시오.
살균제 저항성을 고려하십시오.
날씨를 살펴보세요.",https://www.goodfruit.com/wp-content/uploads/Black-rot-lesions-on-leaves-indicate-potential-for-fruit-infection-1-feat2.jpg
15,포도 , 건강,뿌리 부분에만 물을 뿌리십시오. 많은 포도 질병을 유발할 수 있으므로 포도 잎이 젖지 않도록 하십시오. 가을에는 어린 덩굴에 물을 주는 것을 줄여 식물이 겨울을 준비하기 위해 지팡이를 단단하게 만들도록 장려합니다. 오래된 포도나무는 모래나 기타 배수가 잘 되는 토양이 아닌 이상 물을 줄 필요가 거의 없습니다.,"영양소, 특히 비타민 C와 K가 풍부합니다.
높은 항산화 성분은 만성 질환을 예방할 수 있습니다.
식물성 화합물은 특정 유형의 암을 예방할 수 있습니다. 
다양한 인상적인 방법으로 심장 건강에 유익합니다.
혈당 수치를 낮추고 당뇨병을 예방할 수 있습니다.",https://images.indianexpress.com/2021/02/grapes-1200.jpg
16,오렌지 , 하웅롱빙 | 감귤녹화,"감귤녹화병은 매개체에 의해 전염되는 병원균에 의해 발생하는 감귤류의 질병입니다. HLB는 정맥과 인접 조직이 황변되는 일반적인 증상으로 구별됩니다. 그 다음 전체 잎의 얼룩덜룩한 반점, 조기 고엽, 잔가지의 고사, 영양 잔뿌리 및 측면 뿌리의 부패, 활력 감소, 궁극적으로 전체 식물이 죽게 됩니다. 영향을 받은 나무는 성장이 둔화되고, 비수기 꽃이 여러 개 피고(대부분은 떨어짐), 바닥에 녹색이 남아 있고 매우 쓴 맛이 나는 두껍고 창백한 껍질이 있는 작고 불규칙한 모양의 열매를 맺습니다. 일반적인 증상은 종종 영양 결핍으로 오인될 수 있습니다. 그러나 영양 결핍을 구별하는 요소는 대칭 패턴입니다. 영양 결핍은 잎맥 가장자리를 따라 대칭적인 경향이 있는 반면, HLB는 잎맥 주변에서 비대칭적인 황변을 나타냅니다. HLB의 가장 눈에 띄는 증상은 특히 익은 후에 과일이 녹색으로 변하고 성장이 둔해지는 것입니다.",감귤녹화병의 확산을 막는 유일한 방법은 ACP(Asian Citrus Psyllid)를 통제하는 것입니다. 감귤류는 매우 인기 있고 널리 심는 정원수이기 때문에 주택 소유자는 이 중요한 전투의 최전선에 있습니다. 레몬 나무에 님 오일 살충제를 잎의 위쪽과 아래쪽 모두에 뿌립니다. 감염 정도에 따라 10~14일 후에 반복해야 할 수도 있습니다. 액체 구리 살균제로 곰팡이 성장을 처리하여 후속 조치를 취하십시오.,https://www.universityofcalifornia.edu/sites/default/files/CitrusGreening.jpg
17,복숭아 , 세균 반점,"반점병은 Xanthomonas campestris pv.에 의한 복숭아, 천도복숭아, 살구, 자두의 중요한 질병이다. 자두. 이 질병의 증상으로는 과일 반점, 잎 반점, 나뭇가지 궤양 등이 있습니다. 과일 증상에는 움푹 패임, 갈라짐, 고무질, 물에 젖은 조직 등이 있으며, 이로 인해 과일이 갈색 부패, 뿌리줄기 및 기타 곰팡이 감염에 더 취약해질 수 있습니다. 심한 잎 반점 감염은 조기 낙엽을 유발할 수 있습니다. 심한 낙엽은 과일 크기 감소, 일광 화상 및 과일 갈라짐을 초래할 수 있습니다. 초기에 낙엽된 나무는 활력과 겨울철 강인함이 감소합니다.","세균성 반점의 과일 증상은 곰팡이 Cladosporium carpophyllium에 의해 발생하는 복숭아 딱지와 혼동될 수 있습니다. 그러나 딱지 반점은 더 원형이고 짙은 갈색/녹색을 띠며 보송보송한 모양을 가지며 과일 표면에 구멍이 나지 않습니다. 단, 피부 균열이 발생할 수 있습니다. 딱지는 잎에 증상을 일으키지 않지만 나뭇가지에 반점을 일으킬 수 있습니다. 박테리아 반점의 초기 과일 반점은 표면적일 수 있지만 분화구로 발전합니다.",https://www.gardeningknowhow.com/wp-content/uploads/2016/07/bacterial-spot-peach.jpg
18,복숭아 , 건강함,"복숭아나무는 USDA 구역 5~8 또는 9에서 자라며 작은 크기나 표준 크기로 제공되므로 뒷마당 과수원에 적합합니다. 대부분의 관상용 식물과 달리 복숭아나무는 건강하고 건강하게 유지하기 위해 정기적인 가지치기, 비료, 살포가 필요합니다. 생산적인. 나무 주변의 땅에 물과 영양분을 놓고 경쟁하는 풀과 잡초를 제거하고 뿌리 덮개를 넉넉하게 하십시오.","영양소와 항산화제가 함유되어 있습니다. 
소화에 도움이 될 수 있습니다. 
심장 건강을 향상시킬 수 있습니다. 
피부를 보호할 수 있습니다.
특정 유형의 암을 예방할 수 있습니다.
알레르기 증상을 줄일 수 있습니다.
널리 이용 가능하며 식단에 쉽게 추가할 수 있습니다.",https://www.tasteofhome.com/wp-content/uploads/2019/06/peaches-shutterstock_297863489-1.jpg
19,고추종 , 세균 반점,"오래된 잎의 아래쪽 표면에 작은 여드름으로 나타나는 잎 반점과 잎 위쪽 표면에 물에 젖은 작은 반점으로 나타나는 잎 반점은 세균 반점의 증상입니다. 이것은 메릴랜드에서 중요한 고추 질병입니다. 때로는 토마토를 공격하기도 합니다. 결국, 반점은 가장자리가 더 어두운 회색에서 황갈색으로 발전합니다. 따뜻하고 습한 날씨에는 병변이 확대됩니다. 잎은 노란색으로 변한 다음 갈색으로 변하고 떨어질 수 있습니다. 줄기에도 병변이 발생할 수 있습니다. 과일에는 먹는 품질에 영향을 주지 않는 작고 융기된 거친 반점이 생깁니다. 심하게 감염된 잎은 떨어져서 고추가 햇볕에 데일 수 있습니다. 세균성 잎 반점은 비를 뿌리고 젖고 감염된 식물을 작업함으로써 퍼집니다. 이 질병은 습한 날씨에 식물의 잎을 고갈시킬 수 있습니다. 덥고 건조한 날씨로 인해 이 질병의 확산이 느려집니다. 이 질병은 종자나 이식에 감염될 수 있으며 작물 잔재물과 토양에서 겨울을 보낼 수 있습니다.","저항성 품종 선택
질병이 없는 종자와 이식품을 구입하십시오.
씨앗을 10% 염소 표백제 용액(표백제 1부, 물 9부)에 2분 동안 담가서 처리합니다. 심기 전에 씨앗을 철저히 헹구고 말리십시오.
짚이나 잔디 조각으로 덮은 신문지와 같은 두꺼운 유기 물질로 식물을 깊이 뿌리 덮개합니다.
머리 위 급수를 피하십시오.
계절이 끝나면 심하게 감염된 식물 부분과 모든 잔해물을 제거하고 폐기하십시오.
감염 확산을 늦추기 위해 고정 구리(유기 살균제)를 10~14일마다 뿌립니다.
감염이 심할 경우 고추를 다른 위치로 돌려 놓고 심기 전에 검은색 플라스틱 덮개나 검은색 경관용 천으로 흙을 덮습니다.",https://extension.umd.edu/sites/default/files/_images/programs/grow_it_eat_it/diseases/BacterialLeafSpot/bacterial_leaf_spot_pepper_plant_l.jpg
20,페퍼벨 , 건강함,"피망에 물을 잘 공급하되 흙이 젖지 않도록 하세요. 약 6인치 깊이의 토양이 젖도록 물을 준 다음 약간 말리십시오. 과일이 맺힐 때, 작은 고추가 꽃을 대신할 때, 그리고 종이 성숙할 때 물을 주는 것이 특히 중요합니다. 일정한 수분은 고추를 단단하고 건강하게 유지하는 데 도움이 됩니다.","빨강, 주황, 노랑 피망은 건강상의 이점이 풍부합니다. 비타민이 풍부하고 칼로리가 낮습니다! 비타민 A, 비타민 C, 칼륨의 훌륭한 공급원입니다. 피망에는 또한 건강한 양의 섬유질, 엽산 및 철분이 포함되어 있습니다.",https://www.healthbenefitstimes.com/9/gallery/bell-peppers/Bell-pepper-leaves.jpg
21,감자 , 초기 역병,"대부분의 생산 지역에서는 조기 마름병이 매년 어느 정도 발생합니다. 초기 마름병의 심각성은 비, 이슬 또는 관개로 인한 잎의 습기 빈도에 따라 달라집니다. 잎의 영양 상태; 및 품종 감수성. 초기 마름병의 첫 번째 증상은 오래된(아래쪽) 잎에 작고 원형이거나 불규칙한 암갈색에서 검은색 반점으로 나타납니다. 이 반점은 직경이 최대 3/8인치까지 커지고 점차 각진 모양이 될 수 있습니다. 완전히 확장된 어린 잎의 초기 병변은 갈색 반점 병변과 혼동될 수 있습니다. 이러한 첫 번째 병변은 감염 후 약 2~3일 후에 나타나며, 3~5일 후에 병변 표면에 추가 포자가 발생합니다.",조기 마름병 치료에는 질병에 저항성이 있는 감자 품종을 심는 등의 예방이 포함됩니다. 늦게 성숙하는 품종은 조기 성숙하는 품종보다 저항력이 더 강합니다. 머리 위 관개를 피하고 식물 사이에 충분한 공기를 공급하여 잎이 가능한 한 빨리 건조되도록 하십시오.,https://www.ag.ndsu.edu/publications/crops/early-blight-in-potato/figure-1-opt.jpeg/@@images/468990cc-77a9-4e29-8779-0eb3e94e0407.jpeg
22,감자 , 역병,"일차 숙주는 감자이지만 P. infestans는 감자에 대한 접종원 역할을 할 수 있는 토마토, 피튜니아 및 털이 많은 가지를 포함한 다른 가지과 식물도 감염시킬 수 있습니다. 밭에서 역병의 첫 번째 증상은 작으며 밝거나 어둡습니다. 녹색, 원형 내지 불규칙한 모양의 물에 젖은 반점. 이러한 병변은 일반적으로 아래쪽 잎에 먼저 나타납니다. 병변은 종종 이슬이 가장 오래 머무르는 잎 끝이나 가장자리 근처에서 발생하기 시작합니다. 시원하고 습한 날씨에는 이러한 병변이 빠르게 커져 크고 짙은 갈색 또는 검은색 병변으로 확장되며 종종 기름기가 많은 것처럼 보입니다. 잎의 병변은 흔히 노란색 황백화 후광으로 둘러싸여 있습니다.","심각한 역병은 질병 발병 시 만코제브 0.25% 예방적 스프레이, 이어서 시목사닐+만코제브 또는 디메토모르프+만코제브 0.3% 스프레이, 전신 살균제 살포 7일 후 0.25% 만코제브 1회 추가 스프레이로 효과적으로 관리할 수 있습니다. 서 뱅갈 ",https://www.ag.ndsu.edu/publications/crops/late-blight-in-potato/figure-2-opt.jpeg/@@images/dfe1e0b4-08d4-404a-8e66-474de72b1e91.jpeg
23,감자 , 건강,많은 감자가 성장하려면 일정한 수분 수준이 필요하므로 덩이줄기가 자라면 매일 정기적으로 물을 주세요. 감자에 물을 줄 때 감자는 땅바닥 높이 약 8-10인치까지 도달해야 합니다. 덥거나 따뜻한 계절에는 토양이 빨리 건조되므로 감자에 하루에 두 번 많은 양의 물을 줍니다.,"영양소가 가득 들어있습니다. 핀터레스트에 공유하세요.
항산화제를 함유하고 있습니다. 감자에는 플라보노이드, 카로티노이드, 페놀산과 같은 화합물이 풍부합니다(4).
혈당 조절을 개선할 수 있습니다.
소화 건강을 향상시킬 수 있습니다.
당연히 글루텐 프리입니다.
믿을 수 없을만큼 채워집니다.
매우 다재다능합니다.",https://www.garden.eco/wp-content/uploads/2018/06/can-you-eat-potato-leaves.jpg
